epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.6634,1.24846,1.61607,1.21505,0.62153,0.44971,0.5083,0.27326,1.5295,1.71648,1.43352,0.000662252,0.000662252,0.000662252
2,89.0601,1.47108,1.57415,1.36596,0.50021,0.39191,0.38998,0.18482,1.8557,1.95437,1.73464,0.00130261,0.00130261,0.00130261
3,126.624,1.55095,1.61748,1.44262,0.49593,0.38785,0.38079,0.18056,1.84575,1.92238,1.68616,0.00191656,0.00191656,0.00191656
4,169.556,1.57524,1.61087,1.46025,0.53099,0.43198,0.44105,0.21958,1.72001,1.81388,1.61364,0.0018812,0.0018812,0.0018812
5,219.154,1.51427,1.53199,1.41674,0.60201,0.39653,0.43775,0.23014,1.71419,1.77886,1.62538,0.0018416,0.0018416,0.0018416
6,260.862,1.50773,1.50037,1.40864,0.64146,0.48593,0.53559,0.28779,1.62312,1.50475,1.53977,0.001802,0.001802,0.001802
7,297.619,1.48715,1.46981,1.39762,0.62936,0.47833,0.52637,0.28776,1.60887,1.45903,1.52604,0.0017624,0.0017624,0.0017624
8,334.302,1.43535,1.41645,1.36681,0.63925,0.48478,0.54073,0.29611,1.52272,1.47186,1.46787,0.0017228,0.0017228,0.0017228
9,370.876,1.4313,1.42563,1.37037,0.64375,0.4894,0.54061,0.30775,1.51925,1.44823,1.46837,0.0016832,0.0016832,0.0016832
10,407.579,1.4052,1.37169,1.34811,0.64894,0.49151,0.53361,0.29185,1.5344,1.47602,1.46591,0.0016436,0.0016436,0.0016436
11,444.199,1.40547,1.36228,1.34405,0.68141,0.49371,0.55721,0.31979,1.50983,1.40708,1.45579,0.001604,0.001604,0.001604
12,481.822,1.36198,1.31395,1.31967,0.66259,0.48208,0.54454,0.30821,1.49795,1.40902,1.44683,0.0015644,0.0015644,0.0015644
13,519.982,1.34904,1.29325,1.31541,0.63902,0.49017,0.54295,0.30902,1.51436,1.41302,1.4599,0.0015248,0.0015248,0.0015248
14,557.793,1.35264,1.29613,1.31112,0.69781,0.51985,0.57657,0.33095,1.44691,1.33695,1.40873,0.0014852,0.0014852,0.0014852
15,595.496,1.33654,1.26493,1.29971,0.68794,0.48671,0.5652,0.33156,1.45191,1.31012,1.39249,0.0014456,0.0014456,0.0014456
16,633.77,1.32775,1.25737,1.29301,0.70434,0.52023,0.59532,0.35338,1.41797,1.25702,1.38352,0.001406,0.001406,0.001406
17,671.334,1.28987,1.19592,1.27671,0.69562,0.51985,0.589,0.34588,1.4398,1.29601,1.40411,0.0013664,0.0013664,0.0013664
18,708.935,1.28423,1.18348,1.26285,0.73372,0.51252,0.60823,0.35954,1.40847,1.225,1.35539,0.0013268,0.0013268,0.0013268
19,746.97,1.28269,1.1848,1.26378,0.70539,0.53218,0.60945,0.35705,1.40344,1.26339,1.3667,0.0012872,0.0012872,0.0012872
20,784.694,1.28118,1.17194,1.25751,0.71238,0.53256,0.60484,0.34821,1.43281,1.27169,1.38625,0.0012476,0.0012476,0.0012476
21,822.23,1.26454,1.18326,1.26163,0.70788,0.51079,0.59341,0.35008,1.4127,1.22229,1.37872,0.001208,0.001208,0.001208
22,860.073,1.26211,1.16006,1.2528,0.71897,0.5341,0.60845,0.36385,1.39617,1.21016,1.36105,0.0011684,0.0011684,0.0011684
23,897.902,1.2467,1.12242,1.23806,0.72514,0.52664,0.60829,0.36686,1.38357,1.22693,1.36088,0.0011288,0.0011288,0.0011288
24,935.89,1.23999,1.12584,1.23929,0.72273,0.53757,0.62198,0.3742,1.36418,1.17963,1.33169,0.0010892,0.0010892,0.0010892
25,974.081,1.22064,1.09478,1.23076,0.73325,0.52794,0.62009,0.37499,1.33043,1.17953,1.31248,0.0010496,0.0010496,0.0010496
26,1012.18,1.21986,1.09408,1.22231,0.74858,0.53719,0.62961,0.37668,1.35824,1.14413,1.33726,0.00101,0.00101,0.00101
27,1050.19,1.2027,1.08138,1.21675,0.74136,0.51694,0.61654,0.37118,1.34616,1.1689,1.32798,0.0009704,0.0009704,0.0009704
28,1088.28,1.19342,1.08212,1.20967,0.73846,0.55414,0.64082,0.38879,1.33427,1.1259,1.32224,0.0009308,0.0009308,0.0009308
29,1126.04,1.19821,1.0558,1.21285,0.72284,0.56185,0.64231,0.38892,1.32911,1.12901,1.32085,0.0008912,0.0008912,0.0008912
30,1164.03,1.16908,1.04195,1.20089,0.74459,0.55496,0.64309,0.39339,1.3291,1.12338,1.31671,0.0008516,0.0008516,0.0008516
31,1201.59,1.1743,1.04356,1.19705,0.72711,0.56224,0.63894,0.39304,1.32044,1.11742,1.3005,0.000812,0.000812,0.000812
32,1239.2,1.1706,1.01613,1.19656,0.74171,0.56435,0.64486,0.39764,1.30577,1.09557,1.30293,0.0007724,0.0007724,0.0007724
33,1276.79,1.15378,1.01672,1.18663,0.73402,0.57001,0.65289,0.39624,1.31787,1.10543,1.31223,0.0007328,0.0007328,0.0007328
34,1314.87,1.14489,1.00636,1.17937,0.72547,0.57688,0.65323,0.39929,1.31487,1.09232,1.3114,0.0006932,0.0006932,0.0006932
35,1352.6,1.12889,0.98619,1.16919,0.73883,0.58343,0.65847,0.40463,1.30415,1.07024,1.29353,0.0006536,0.0006536,0.0006536
36,1390.39,1.12989,0.97876,1.1668,0.74284,0.57264,0.65251,0.40105,1.28985,1.07051,1.2899,0.000614,0.000614,0.000614
37,1428.17,1.13298,0.98151,1.1741,0.75268,0.5711,0.65441,0.4104,1.27972,1.06483,1.28267,0.0005744,0.0005744,0.0005744
38,1465.86,1.11758,0.9455,1.16067,0.73839,0.56884,0.65239,0.40962,1.28971,1.0641,1.2817,0.0005348,0.0005348,0.0005348
39,1503.47,1.10426,0.94258,1.15901,0.73286,0.58497,0.65721,0.40453,1.3054,1.06082,1.29788,0.0004952,0.0004952,0.0004952
40,1541.17,1.10135,0.93489,1.14511,0.75572,0.56865,0.65775,0.4115,1.2932,1.04772,1.28878,0.0004556,0.0004556,0.0004556
41,1587.15,1.12944,0.93381,1.16866,0.75572,0.57463,0.6601,0.4037,1.31008,1.0455,1.31112,0.000416,0.000416,0.000416
42,1623.42,1.09509,0.88213,1.14998,0.75597,0.56879,0.66364,0.413,1.28472,1.03709,1.28939,0.0003764,0.0003764,0.0003764
43,1660.05,1.08231,0.86073,1.14252,0.7688,0.57152,0.66721,0.41392,1.27673,1.03896,1.27408,0.0003368,0.0003368,0.0003368
44,1697.39,1.06078,0.84086,1.1237,0.75575,0.57649,0.66348,0.41506,1.28652,1.03931,1.28323,0.0002972,0.0002972,0.0002972
45,1735.54,1.05782,0.82184,1.12303,0.7641,0.57341,0.66505,0.41333,1.27815,1.04612,1.28801,0.0002576,0.0002576,0.0002576
46,1771.9,1.05108,0.82113,1.11419,0.80731,0.56069,0.66366,0.41443,1.28208,1.04474,1.28385,0.000218,0.000218,0.000218
47,1811.33,1.04585,0.81204,1.11434,0.76534,0.57919,0.66631,0.41745,1.27216,1.02639,1.2755,0.0001784,0.0001784,0.0001784
48,1847.97,1.02775,0.79807,1.09948,0.75839,0.59148,0.67014,0.41915,1.27001,1.02504,1.27954,0.0001388,0.0001388,0.0001388
